post_id,title,category,score,num_comments,author,collected_at
47625952,Show HN: I built a frontpage for personal blogs,entertainment,764,192,ramkarthikk,2026-04-05T16:08:31.652030
47633947,The FAA’s flight restriction for drones is an attempt to criminalize filming ICE,entertainment,536,183,detaro,2026-04-05T16:08:32.189778
47642275,"Netflix must refund customers for years of price hikes, Italian court rules",entertainment,59,6,xbmcuser,2026-04-05T16:08:32.235481
47626598,Show HN: ctx – an Agentic Development Environment (ADE),entertainment,50,52,luca-ctx,2026-04-05T16:08:37.611635
47640770,Show HN: DocMason – Agent Knowledge Base for local complex office files,entertainment,9,0,Jet_Xu,2026-04-05T16:08:37.674113
47630109,Firm boosts H.264 streaming license fees from $100k up to staggering $4.5M,entertainment,190,75,MaximilianEmel,2026-04-05T16:08:37.711578
47638532,"Show HN: Ownscribe – local meeting transcription, summarization and search",entertainment,13,0,paberr,2026-04-05T16:08:37.869825
47643637,Show HN: Dev Personality Test,entertainment,7,3,4m1rk,2026-04-05T16:08:37.943995
47646553,The SimCity Planning Commission Handbook (2024),entertainment,5,0,Tomte,2026-04-05T16:08:42.661288
47621438,Show HN: Made a little Artemis II tracker,entertainment,151,57,codingmoh,2026-04-05T16:08:42.739584
47632692,Show HN: Mtproto.zig – High-performance Telegram proxy with DPI evasion,entertainment,21,14,slp3r,2026-04-05T16:08:42.757318
47631030,Show HN: Ismcpdead.com – Live dashboard tracking MCP adoption and sentiment,entertainment,35,23,sagirodin,2026-04-05T16:08:42.847472
47612601,"Sweden goes back to basics, swapping screens for books in the classroom",entertainment,898,432,novaRom,2026-04-05T16:08:43.327957
47612277,Almighty Lisp: Lisp and Emacs Essentials Book,entertainment,75,4,nemoniac,2026-04-05T16:08:43.453287
47589856,Show HN: Postgres extension for BM25 relevance-ranked full-text search,entertainment,202,56,tjgreen,2026-04-05T16:08:43.510662
47612321,Show HN: I built a DNS resolver from scratch in Rust – no DNS libraries,entertainment,113,65,rdme,2026-04-05T16:08:43.764385
47631648,Automatic Textbook Formalization,entertainment,43,17,tzury,2026-04-05T16:08:43.780321
47615844,Show HN: A P2P messenger with dual network modes (Fast and Tor),entertainment,39,22,Realman78,2026-04-05T16:08:44.002930
