post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47648828,"Eight years of wanting, three months of building with AI",technology,130,22,brilee,2026-04-05T16:06:55.349922,0.16793893129770993,False
47647455,"A Claude Code skill that makes Claude talk like a caveman, cutting token use",technology,341,213,tosh,2026-04-05T16:06:55.365121,0.6228070175438597,True
47650569,"Microsoft terms say Copilot is for entertainment purposes only, not serious use",technology,25,2,jatins,2026-04-05T16:06:55.382716,0.07692307692307693,False
47649117,Someone at BrowserStack Is Leaking Users' Email Address,technology,257,67,m_km,2026-04-05T16:06:55.423056,0.2596899224806202,True
47649811,"Japanese, French and Omani Vessels Cross Strait of Hormuz",technology,80,52,vrganj,2026-04-05T16:06:55.440926,0.6419753086419753,False
47640728,Show HN: A game where you build a GPU,technology,857,171,Jaso1024,2026-04-05T16:06:55.550949,0.1993006993006993,True
47645432,Introduction to Computer Music (2009) [pdf],technology,194,60,luu,2026-04-05T16:06:55.783373,0.3076923076923077,True
47640875,"LLM Wiki – example of an ""idea file""",technology,253,77,tamnd,2026-04-05T16:06:55.944548,0.3031496062992126,True
47587089,"Zml-smi: universal monitoring tool for GPUs, TPUs and NPUs",technology,69,11,steeve,2026-04-05T16:06:56.029434,0.15714285714285714,False
47639779,"Show HN: sllm – Split a GPU node with other developers, unlimited tokens",technology,171,85,jrandolf,2026-04-05T16:06:56.181950,0.4941860465116279,False
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,465,210,naves,2026-04-05T16:06:56.277267,0.45064377682403434,True
47637757,Embarrassingly simple self-distillation improves code generation,technology,622,187,Anon84,2026-04-05T16:06:56.297637,0.3001605136436597,True
47648529,Right to repair: Why the US military can't fix much of its own equipment,technology,15,4,scythe,2026-04-05T16:06:56.312808,0.25,False
47645468,Writing Lisp is AI resistant and I'm sad,technology,73,79,djha-skin,2026-04-05T16:06:56.338757,1.0675675675675675,False
47650022,Banray.eu: Raising awareness of the terrible idea that is always-on AI glasses,technology,23,7,ChrisArchitect,2026-04-05T16:06:56.357269,0.2916666666666667,False
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1060,803,firloop,2026-04-05T16:06:56.378613,0.7568331762488218,True
47590230,Costco sued for seeking refunds on tariffs customers paid,technology,77,67,AdmiralAsshat,2026-04-05T16:06:56.535134,0.8589743589743589,False
47606244,Training mRNA Language Models Across 25 Species for $165,technology,144,33,maziyar,2026-04-05T16:06:56.550765,0.22758620689655173,False
47648226,SpaceX and OpenAI: The Mega IPO Grift [video],technology,14,6,throw0101c,2026-04-05T16:06:56.668767,0.4,False
47610593,Elizabeth I's Manuscript of Pierre Boaistuau's Histoires Prodigieuses (1559),technology,5,1,benbreen,2026-04-05T16:06:56.683429,0.16666666666666666,False
47633855,Claude Code Found a Linux Vulnerability Hidden for 23 Years,technology,402,254,eichin,2026-04-05T16:06:56.776371,0.630272952853598,True
47641788,Iranian missile blitz takes down AWS data centers in Bahrain and Dubai,technology,174,151,lschueller,2026-04-05T16:06:56.912634,0.8628571428571429,False
47645235,Brain scans reveal how to enters a psychedelic-like trance without drugs,technology,70,23,ingenika,2026-04-05T16:06:56.972877,0.323943661971831,False
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,517,372,zaikunzhang,2026-04-05T16:07:03.630586,0.7181467181467182,True
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,52,32,1659447091,2026-04-05T16:07:04.784869,0.6037735849056604,False
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,587,208,pretext,2026-04-05T16:07:05.877354,0.35374149659863946,True
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,296,148,Growtika,2026-04-05T16:07:07.320938,0.4983164983164983,True
47648177,China Edges Past U.S. in Global Approval Ratings,worldnews,5,0,KnuthIsGod,2026-04-05T16:07:08.011323,0.0,False
